pref,neighbors(現實基準),original_deviation(原作已知偏差),status
北海道,青森,原作可被攻略→與青森海路隣接[推定]；謎之島小島連接點[確認],全列待逐縣實測校正
青森,北海道|岩手|秋田,,全列待逐縣實測校正
岩手,青森|秋田|宮城,,全列待逐縣實測校正
宮城,岩手|秋田|山形|福島,,全列待逐縣實測校正
秋田,青森|岩手|宮城|山形,,全列待逐縣實測校正
山形,秋田|宮城|福島|新潟,,全列待逐縣實測校正
福島,宮城|山形|新潟|群馬|栃木|茨城,,全列待逐縣實測校正
茨城,福島|栃木|埼玉|千葉,,全列待逐縣實測校正
栃木,福島|茨城|群馬|埼玉,,全列待逐縣實測校正
群馬,福島|栃木|埼玉|長野|新潟,,全列待逐縣實測校正
埼玉,群馬|栃木|茨城|千葉|東京|山梨|長野,,全列待逐縣實測校正
千葉,茨城|埼玉|東京,,全列待逐縣實測校正
東京,千葉|埼玉|山梨|神奈川,,全列待逐縣實測校正
神奈川,東京|山梨|静岡,,全列待逐縣實測校正
新潟,山形|福島|群馬|長野|富山,,全列待逐縣實測校正
富山,新潟|長野|岐阜|石川,,全列待逐縣實測校正
石川,富山|岐阜|福井,謎之島小島連接點[確認],全列待逐縣實測校正
福井,石川|岐阜|滋賀|京都,,全列待逐縣實測校正
山梨,東京|埼玉|長野|静岡|神奈川,,全列待逐縣實測校正
長野,新潟|群馬|埼玉|山梨|静岡|愛知|岐阜|富山,,全列待逐縣實測校正
岐阜,富山|石川|福井|滋賀|愛知|長野|三重,,全列待逐縣實測校正
静岡,神奈川|山梨|長野|愛知,,全列待逐縣實測校正
愛知,静岡|長野|岐阜|三重,,全列待逐縣實測校正
三重,愛知|岐阜|滋賀|京都|奈良|和歌山,,全列待逐縣實測校正
滋賀,福井|岐阜|三重|京都,,全列待逐縣實測校正
京都,福井|滋賀|三重|奈良|大阪|兵庫,,全列待逐縣實測校正
大阪,京都|奈良|和歌山|兵庫,原作中『大阪–香川』隣接[確認],全列待逐縣實測校正
兵庫,京都|大阪|鳥取|岡山,,全列待逐縣實測校正
奈良,京都|大阪|和歌山|三重,,全列待逐縣實測校正
和歌山,大阪|奈良|三重,,全列待逐縣實測校正
鳥取,兵庫|岡山|島根|広島,,全列待逐縣實測校正
島根,鳥取|広島|山口,,全列待逐縣實測校正
岡山,兵庫|鳥取|広島,,全列待逐縣實測校正
広島,岡山|鳥取|島根|山口,,全列待逐縣實測校正
山口,島根|広島,原作中『山口–福岡』不隣接[確認],全列待逐縣實測校正
徳島,香川|愛媛|高知,,全列待逐縣實測校正
香川,徳島|愛媛,原作中『大阪–香川』隣接[確認]；現實的岡山–香川/兵庫–徳島橋連是否存在待實測,全列待逐縣實測校正
愛媛,香川|徳島|高知,,全列待逐縣實測校正
高知,徳島|愛媛,,全列待逐縣實測校正
福岡,佐賀|熊本|大分,原作中『山口–福岡』不隣接[確認],全列待逐縣實測校正
佐賀,福岡|長崎,,全列待逐縣實測校正
長崎,佐賀,謎之島小島連接點[確認],全列待逐縣實測校正
熊本,福岡|大分|宮崎|鹿児島,,全列待逐縣實測校正
大分,福岡|熊本|宮崎,,全列待逐縣實測校正
宮崎,大分|熊本|鹿児島,,全列待逐縣實測校正
鹿児島,宮崎|熊本,,全列待逐縣實測校正
沖縄,,現實無陸路隣接；原作可攻略→海路隣接對象待實測(推定鹿児島),全列待逐縣實測校正
