pref_id,name,trait,confidence
0,北海道,金山,確認(社群整理)
1,青森,霊場,確認(社群整理)
2,岩手,,待實測
3,宮城,城,確認(社群整理)
4,秋田,,待實測
5,山形,,待實測
6,福島,,待實測
7,茨城,,待實測
8,栃木,,待實測
9,群馬,,待實測
10,埼玉,,待實測
11,千葉,,待實測
12,東京,,待實測
13,神奈川,忍の里,確認(社群整理)
14,新潟,金山,確認(社群整理)
15,富山,,待實測
16,石川,,待實測
17,福井,神社,確認(社群整理)
18,山梨,金山,確認(社群整理)
19,長野,,待實測
20,岐阜,刀鍛冶,確認(社群整理)
21,静岡,,待實測
22,愛知,城,確認(社群整理)
23,三重,忍の里,確認(社群整理)
24,滋賀,忍の里,確認(社群整理)
25,京都,,待實測
26,大阪,鉄砲鍛冶,確認(社群整理)
27,兵庫,城,確認(社群整理)
28,奈良,神社,確認(社群整理)
29,和歌山,霊場,確認(社群整理)
30,鳥取,,待實測
31,島根,忍の里,確認(社群整理)
32,岡山,刀鍛冶,確認(社群整理)
33,広島,神社,確認(社群整理)
34,山口,,待實測
35,徳島,,待實測
36,香川,,待實測
37,愛媛,,待實測
38,高知,,待實測
39,福岡,,待實測
40,佐賀,,待實測
41,長崎,,待實測
42,熊本,城,確認(社群整理)
43,大分,金山,確認(社群整理)
44,宮崎,,待實測
45,鹿児島,鉄砲鍛冶,確認(社群整理)
46,沖縄,城,確認(社群整理)
